tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0111161	movie	The Shawshank Redemption	The Shawshank Redemption	0.0	1994.0		142	Drama
tt0068646	movie	The Godfather	The Godfather	0.0	1972.0		175	Crime,Drama
tt0468569	movie	The Dark Knight	The Dark Knight	0.0	2008.0		152	Action,Crime,Drama
tt0167260	movie	The Lord of the Rings: The Return of the King	The Lord of the Rings: The Return of the King	0.0	2003.0		201	Adventure,Drama,Fantasy
tt0108052	movie	Schindler's List	Schindler's List	0.0	1993.0		195	Biography,Drama,History
tt0071562	movie	The Godfather Part II	The Godfather Part II	0.0	1974.0		202	Crime,Drama
tt0050083	movie	12 Angry Men	12 Angry Men	0.0	1957.0		96	Crime,Drama
tt0120737	movie	The Lord of the Rings: The Fellowship of the Ring	The Lord of the Rings: The Fellowship of the Ring	0.0	2001.0		178	Adventure,Drama,Fantasy
tt1375666	movie	Inception	Inception	0.0	2010.0		148	Action,Adventure,Sci-Fi
tt0137523	movie	Fight Club	Fight Club	0.0	1999.0		139	Crime,Drama,Thriller
tt0109830	movie	Forrest Gump	Forrest Gump	0.0	1994.0		142	Drama,Romance
tt0110912	movie	Pulp Fiction	Pulp Fiction	0.0	1994.0		154	Crime,Drama
tt0167261	movie	The Lord of the Rings: The Two Towers	The Lord of the Rings: The Two Towers	0.0	2002.0		179	Adventure,Drama,Fantasy
tt0060196	movie	The Good, the Bad and the Ugly	Il buono, il brutto, il cattivo	0.0	1966.0		178	Adventure,Drama,Western
tt0816692	movie	Interstellar	Interstellar	0.0	2014.0		169	Adventure,Drama,Sci-Fi
tt0133093	movie	The Matrix	The Matrix	0.0	1999.0		136	Action,Sci-Fi
tt0080684	movie	Star Wars: Episode V - The Empire Strikes Back	Star Wars: Episode V - The Empire Strikes Back	0.0	1980.0		124	Action,Adventure,Fantasy
tt0099685	movie	Goodfellas	GoodFellas	0.0	1990.0		145	Biography,Crime,Drama
tt0073486	movie	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	0.0	1975.0		133	Drama
tt23849204	movie	12th Fail	12th Fail	0.0	2023.0		147	Biography,Drama
tt0114369	movie	Se7en	Se7en	0.0	1995.0		127	Crime,Drama,Mystery
tt0102926	movie	The Silence of the Lambs	The Silence of the Lambs	0.0	1991.0		118	Crime,Drama,Horror
tt0120815	movie	Saving Private Ryan	Saving Private Ryan	0.0	1998.0		169	Drama,War
tt0076759	movie	Star Wars: Episode IV - A New Hope	Star Wars	0.0	1977.0		121	Action,Adventure,Fantasy
tt0120689	movie	The Green Mile	The Green Mile	0.0	1999.0		189	Crime,Drama,Fantasy
tt0103064	movie	Terminator 2: Judgment Day	Terminator 2: Judgment Day	0.0	1991.0		137	Action,Adventure,Sci-Fi
tt0245429	movie	Spirited Away	Sen to Chihiro no kamikakushi	0.0	2001.0		124	Adventure,Animation,Family
tt0317248	movie	City of God	Cidade de Deus	0.0	2002.0		130	Crime,Drama
tt0118799	movie	Life Is Beautiful	La vita è bella	0.0	1997.0		116	Comedy,Drama,Romance
tt0038650	movie	It's a Wonderful Life	It's a Wonderful Life	0.0	1946.0		130	Drama,Family,Fantasy
tt0047478	movie	Seven Samurai	Shichinin no samurai	0.0	1954.0		207	Action,Drama
tt15097216	movie	Jai Bhim	Jai Bhim	0.0	2021.0		164	Crime,Drama
tt10189514	movie	Soorarai Pottru	Soorarai Pottru	0.0	2020.0		153	Drama
tt0056058	movie	Harakiri	Seppuku	0.0	1962.0		133	Drama,Mystery
tt9263550	movie	Rocketry: The Nambi Effect	Rocketry: The Nambi Effect	0.0	2022.0		157	Biography,Drama
tt1853728	movie	Django Unchained	Django Unchained	0.0	2012.0		165	Drama,Western
tt0172495	movie	Gladiator	Gladiator	0.0	2000.0		155	Action,Adventure,Drama
tt0482571	movie	The Prestige	The Prestige	0.0	2006.0		130	Drama,Mystery,Sci-Fi
tt0407887	movie	The Departed	The Departed	0.0	2006.0		151	Crime,Drama,Thriller
tt0088763	movie	Back to the Future	Back to the Future	0.0	1985.0		116	Adventure,Comedy,Sci-Fi
tt0110413	movie	Léon: The Professional	Léon	0.0	1994.0		110	Action,Crime,Drama
tt0120586	movie	American History X	American History X	0.0	1998.0		119	Crime,Drama
tt0110357	movie	The Lion King	The Lion King	0.0	1994.0		88	Adventure,Animation,Drama
tt0114814	movie	The Usual Suspects	The Usual Suspects	0.0	1995.0		106	Crime,Drama,Mystery
tt2582802	movie	Whiplash	Whiplash	0.0	2014.0		106	Drama,Music
tt6751668	movie	Parasite	Gisaengchung	0.0	2019.0		132	Drama,Thriller
tt0078748	movie	Alien	Alien	0.0	1979.0		117	Horror,Sci-Fi
tt1675434	movie	The Intouchables	Intouchables	0.0	2011.0		112	Comedy,Drama
tt0253474	movie	The Pianist	The Pianist	0.0	2002.0		150	Biography,Drama,Music
tt0054215	movie	Psycho	Psycho	0.0	1960.0		109	Drama,Horror,Mystery
tt15239678	movie	Dune: Part Two	Dune: Part Two	0.0	2024.0		166	Action,Adventure,Drama
tt0034583	movie	Casablanca	Casablanca	0.0	1942.0		102	Drama,Romance,War
tt10811166	movie	The Kashmir Files	The Kashmir Files	0.0	2022.0		170	Drama
tt0047396	movie	Rear Window	Rear Window	0.0	1954.0		112	Drama,Mystery,Thriller
tt9362722	movie	Spider-Man: Across the Spider-Verse	Spider-Man: Across the Spider-Verse	0.0	2023.0		140	Action,Adventure,Animation
tt0064116	movie	Once Upon a Time in the West	C'era una volta il West	0.0	1968.0		166	Drama,Western
tt0095327	movie	Grave of the Fireflies	Hotaru no haka	0.0	1988.0		88	Animation,Drama,War
tt0095765	movie	Cinema Paradiso	Nuovo Cinema Paradiso	0.0	1988.0		174	Drama,Romance
tt0027977	movie	Modern Times	Modern Times	0.0	1936.0		87	Comedy,Drama,Romance
tt0021749	movie	City Lights	City Lights	0.0	1931.0		87	Comedy,Drama,Romance
tt1424432	movie	Senna	Senna	0.0	2010.0		106	Biography,Documentary,Sport
tt20850406	movie	Sita Ramam	Sita Ramam	0.0	2022.0		163	Action,Drama,Musical
tt1345836	movie	The Dark Knight Rises	The Dark Knight Rises	0.0	2012.0		164	Action,Crime,Drama
tt0361748	movie	Inglourious Basterds	Inglourious Basterds	0.0	2009.0		153	Adventure,Drama,War
tt0209144	movie	Memento	Memento	0.0	2000.0		113	Drama,Mystery,Thriller
